kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
12470954,K00439.01,1,CANDIDATE,1.0,1.902208647,343.7984,4.45,0.53,-0.33,0.043475,0.000407,-0.00022,0.973,0.043,-0.041,5400,4.629519168056254,0.2091334688179212,-0.19647903802465883,135,12470954,1.902,2.9e-05,7.557079445202001e-166,6.063174778495494e-15,0.0,2.9e-05,0.0
7829836,K05433.01,1,CANDIDATE,0.562,237.819002,9.357273,2.55,0.4,-0.18,0.022527,0.0013,-0.001037,0.981,0.049,-0.047,5876,2.4185541869966016,0.18459098767838455,-0.16069273747012916,5796,7829836,237.819,0.0048,0.9687094997738583,0.6796489019742652,0.9314705336310061,0.0048,0.9269994750695773
10019643,K00471.01,1,CANDIDATE,1.0,21.34736612,39.393997,3.2,0.54,-0.54,0.0273449999999999,0.001473,-0.003978,0.913,0.041,-0.039,5395,2.7323237736754242,0.19161968983544223,-0.4142649070125241,355,10019643,21.347,0.0021,0.9687094997738583,0.005562238999904124,0.9998193279442719,0.0021,0.9977197073555889
10019643,K00471.02,2,CANDIDATE,0.998,7.81100952,13.908585999999998,1.36,0.22,-0.23,0.0116,0.002997,-0.001527,0.913,0.041,-0.039,5395,1.1590768248175183,0.3039513800198786,-0.16041065844744157,356,10019643,7.811,0.00061,0.9687094997738583,0.042125821172344084,0.9985794423576804,0.00061,0.9979703088978422
9183378,K04222.01,1,CANDIDATE,0.996,3.38557445,13.11794,1.63,0.42,-0.64,0.010068,0.0006219999999999,-0.00052,1.248,0.056,-0.053,5718,1.3751220558771708,0.10499877355478214,-0.09194954931231353,5439,9183378,3.386,0.016,0.9687094997738583,0.04213947751738374,0.9985789615817824,0.016,0.9826016981964738
7429240,K04450.01,1,CANDIDATE,1.0,196.436796,11.060613,2.33,0.28,-0.19,0.022558,0.001362,-0.000958,0.819,0.041,-0.039,5466,2.021938536905361,0.15858463084215582,-0.1290106203425098,4844,7429240,196.437,0.00087,0.9687094997738583,0.511161947971723,0.9662236700056506,0.00087,0.9653830554127456
8937762,K04668.01,1,CANDIDATE,0.978,15.07277287,10.633059,1.73,0.36,-0.13,0.020577,0.002973,-0.0037,1.132,0.086,-0.078,5521,2.549247136106217,0.41613417422747156,-0.4908896008700349,4905,8937762,15.073,0.59,0.9687094997738583,0.061964422319929616,0.9978662573309545,0.59,0.40912516550569133
6839010,K04674.01,1,CANDIDATE,0.987,4.84350003,7.976379400000001,0.9,0.24,-0.16,0.007775,0.001138,-0.001466,1.197,0.051,-0.048,5762,1.0185397995060408,0.15526798220853805,-0.19634394785657305,4907,6839010,4.844,0.00012,0.9687094997738583,0.06644210200270695,0.9977010948485289,0.00012,0.997581370717147
8278073,K04799.01,1,CANDIDATE,0.994,12.0729757,9.005999000000001,1.69,0.28,-0.43,0.009058,0.000941,-0.00044,1.031,0.046,-0.043,5438,1.022055400295746,0.1155554689616311,-0.06543623987378736,6003,8278073,12.073,0.0063,0.9687094997738583,0.06786747721851717,0.9976481858876872,0.0063,0.9913630023165948
10810859,K04801.01,1,CANDIDATE,0.414,82.401274,8.411982,2.21,0.37,-0.12,0.020272,0.000839,-0.002232,1.035,0.063,-0.059,5893,2.2962565227787564,0.1690206858525555,-0.2847000135165712,6005,10810859,82.401,0.36,0.9687094997738583,0.18829086407610637,0.9925071375223653,0.36,0.6352045680143138
